# frequency  SPL  phase
1.000e+01 4.568e+01 -6.981e+01
1.098e+01 4.733e+01 -7.687e+01
1.205e+01 4.897e+01 -8.464e+01
1.323e+01 5.063e+01 -9.330e+01
1.453e+01 5.230e+01 -1.030e+02
1.595e+01 5.396e+01 -1.137e+02
1.751e+01 5.561e+01 -1.256e+02
1.922e+01 5.726e+01 -1.390e+02
2.110e+01 5.890e+01 -1.541e+02
2.317e+01 6.050e+01 -1.713e+02
2.543e+01 6.203e+01 1.691e+02
2.792e+01 6.341e+01 1.465e+02
3.065e+01 6.450e+01 1.207e+02
3.365e+01 6.510e+01 9.176e+01
3.695e+01 6.500e+01 6.094e+01
4.056e+01 6.422e+01 3.034e+01
4.453e+01 6.291e+01 1.188e+00
4.889e+01 6.130e+01 -2.619e+01
5.367e+01 5.957e+01 -5.215e+01
5.892e+01 5.777e+01 -7.734e+01
6.469e+01 5.597e+01 -1.023e+02
7.102e+01 5.418e+01 -1.276e+02
7.796e+01 5.241e+01 -1.534e+02
8.559e+01 5.065e+01 1.797e+02
9.397e+01 4.891e+01 1.514e+02
1.032e+02 4.718e+01 1.215e+02
1.132e+02 4.546e+01 8.967e+01
1.243e+02 4.375e+01 5.551e+01
1.365e+02 4.205e+01 1.879e+01
1.499e+02 4.034e+01 -2.088e+01
1.645e+02 3.864e+01 -6.384e+01
1.806e+02 3.692e+01 -1.105e+02
1.983e+02 3.520e+01 -1.612e+02
2.177e+02 3.346e+01 1.437e+02
2.390e+02 3.170e+01 8.357e+01
2.624e+02 2.994e+01 1.803e+01
2.880e+02 2.818e+01 -5.352e+01
3.162e+02 2.643e+01 -1.319e+02
3.472e+02 2.470e+01 1.420e+02
3.811e+02 2.293e+01 4.687e+01
4.184e+02 2.100e+01 -5.827e+01
4.594e+02 1.872e+01 -1.738e+02
5.043e+02 1.602e+01 6.063e+01
5.537e+02 1.286e+01 -7.481e+01
6.078e+02 9.269e+00 1.412e+02
6.673e+02 5.822e+00 -9.719e+00
7.326e+02 3.376e+00 -1.721e+02
8.043e+02 1.838e+00 6.547e+00
8.830e+02 4.071e-01 1.627e+02
9.694e+02 -1.155e+00 -5.958e+01
1.064e+03 -1.610e+00 5.688e+01
1.168e+03 -1.247e+00 1.384e+02
1.283e+03 -2.175e+00 -1.761e+02
1.408e+03 -4.522e+00 -1.554e+02
1.546e+03 -6.110e+00 -1.617e+02
1.697e+03 -7.684e+00 1.482e+02
1.863e+03 -1.081e+01 5.980e+01
2.046e+03 -1.218e+01 -6.400e+01
2.246e+03 -1.423e+01 1.244e+02
2.465e+03 -2.087e+01 -1.192e+02
2.707e+03 -2.717e+01 -5.256e+01
2.971e+03 -2.356e+01 1.952e+01
3.262e+03 -2.942e+01 -4.131e+01
3.581e+03 -3.024e+01 1.734e+02
3.932e+03 -3.224e+01 -8.128e+01
4.317e+03 -3.431e+01 -9.745e+00
4.739e+03 -4.886e+01 5.426e+00
5.203e+03 -4.525e+01 1.468e+02
5.712e+03 -5.009e+01 -2.980e+01
6.270e+03 -5.969e+01 -8.869e+00
6.884e+03 -7.063e+01 1.260e+02
7.558e+03 -5.409e+01 -1.404e+02
8.297e+03 -4.910e+01 1.473e+02
9.109e+03 -5.689e+01 -1.723e+02
1.000e+04 -5.832e+01 5.153e+01
