# frequency  SPL  phase
1.000e+01 4.730e+01 -6.515e+01
1.098e+01 4.895e+01 -7.175e+01
1.205e+01 5.060e+01 -7.902e+01
1.323e+01 5.225e+01 -8.713e+01
1.453e+01 5.392e+01 -9.617e+01
1.595e+01 5.557e+01 -1.062e+02
1.751e+01 5.723e+01 -1.174e+02
1.922e+01 5.888e+01 -1.300e+02
2.110e+01 6.051e+01 -1.443e+02
2.317e+01 6.211e+01 -1.605e+02
2.543e+01 6.364e+01 -1.790e+02
2.792e+01 6.502e+01 1.596e+02
3.065e+01 6.610e+01 1.351e+02
3.365e+01 6.669e+01 1.076e+02
3.695e+01 6.660e+01 7.832e+01
4.056e+01 6.580e+01 4.945e+01
4.453e+01 6.449e+01 2.221e+01
4.889e+01 6.288e+01 -3.046e+00
5.367e+01 6.113e+01 -2.667e+01
5.892e+01 5.934e+01 -4.927e+01
6.469e+01 5.753e+01 -7.140e+01
7.102e+01 5.573e+01 -9.344e+01
7.796e+01 5.396e+01 -1.158e+02
8.559e+01 5.221e+01 -1.387e+02
9.397e+01 5.048e+01 -1.626e+02
1.032e+02 4.879e+01 1.724e+02
1.132e+02 4.713e+01 1.460e+02
1.243e+02 4.551e+01 1.178e+02
1.365e+02 4.395e+01 8.766e+01
1.499e+02 4.245e+01 5.513e+01
1.645e+02 4.102e+01 1.985e+01
1.806e+02 3.966e+01 -1.867e+01
1.983e+02 3.837e+01 -6.091e+01
2.177e+02 3.713e+01 -1.074e+02
2.390e+02 3.592e+01 -1.587e+02
2.624e+02 3.471e+01 1.447e+02
2.880e+02 3.346e+01 8.242e+01
3.162e+02 3.215e+01 1.394e+01
3.472e+02 3.074e+01 -6.092e+01
3.811e+02 2.925e+01 -1.424e+02
4.184e+02 2.773e+01 1.292e+02
4.594e+02 2.628e+01 3.312e+01
5.043e+02 2.503e+01 -7.181e+01
5.537e+02 2.403e+01 1.719e+02
6.078e+02 2.306e+01 4.231e+01
6.673e+02 2.192e+01 -1.014e+02
7.326e+02 2.045e+01 1.007e+02
8.043e+02 1.869e+01 -7.118e+01
8.830e+02 1.684e+01 1.028e+02
9.694e+02 1.521e+01 -9.957e+01
1.064e+03 1.394e+01 3.816e+01
1.168e+03 1.293e+01 1.515e+02
1.283e+03 1.160e+01 -1.220e+02
1.408e+03 9.902e+00 -6.079e+01
1.546e+03 8.165e+00 -2.838e+01
1.697e+03 6.126e+00 -2.698e+01
1.863e+03 4.234e+00 -5.870e+01
2.046e+03 2.390e+00 -1.272e+02
2.246e+03 1.843e-01 1.157e+02
2.465e+03 -2.039e+00 -4.672e+01
2.707e+03 -5.340e+00 1.068e+02
2.971e+03 -7.248e+00 -1.505e+02
3.262e+03 -9.469e+00 -1.176e+02
3.581e+03 -1.350e+01 -1.614e+02
3.932e+03 -1.457e+01 9.860e+01
4.317e+03 -1.780e+01 -6.847e+01
4.739e+03 -2.105e+01 2.080e+01
5.203e+03 -2.544e+01 5.032e+00
5.712e+03 -2.936e+01 -1.085e+02
6.270e+03 -3.426e+01 1.988e+01
6.884e+03 -4.195e+01 2.144e+01
7.558e+03 -4.431e+01 -1.036e+02
8.297e+03 -6.966e+01 -3.688e+01
9.109e+03 -5.691e+01 -4.220e+01
1.000e+04 -5.393e+01 1.210e+02
