# frequency  SPL  phase
1.000e+01 4.737e+01 -6.494e+01
1.098e+01 4.903e+01 -7.152e+01
1.205e+01 5.067e+01 -7.878e+01
1.323e+01 5.233e+01 -8.686e+01
1.453e+01 5.399e+01 -9.588e+01
1.595e+01 5.565e+01 -1.059e+02
1.751e+01 5.730e+01 -1.171e+02
1.922e+01 5.895e+01 -1.297e+02
2.110e+01 6.058e+01 -1.439e+02
2.317e+01 6.218e+01 -1.600e+02
2.543e+01 6.370e+01 -1.785e+02
2.792e+01 6.508e+01 1.602e+02
3.065e+01 6.617e+01 1.357e+02
3.365e+01 6.675e+01 1.082e+02
3.695e+01 6.665e+01 7.904e+01
4.056e+01 6.585e+01 5.024e+01
4.453e+01 6.453e+01 2.306e+01
4.889e+01 6.291e+01 -2.125e+00
5.367e+01 6.116e+01 -2.567e+01
5.892e+01 5.935e+01 -4.820e+01
6.469e+01 5.752e+01 -7.024e+01
7.102e+01 5.571e+01 -9.220e+01
7.796e+01 5.391e+01 -1.144e+02
8.559e+01 5.212e+01 -1.373e+02
9.397e+01 5.035e+01 -1.611e+02
1.032e+02 4.860e+01 1.740e+02
1.132e+02 4.686e+01 1.477e+02
1.243e+02 4.514e+01 1.198e+02
1.365e+02 4.345e+01 8.997e+01
1.499e+02 4.179e+01 5.795e+01
1.645e+02 4.016e+01 2.345e+01
1.806e+02 3.859e+01 -1.391e+01
1.983e+02 3.707e+01 -5.453e+01
2.177e+02 3.561e+01 -9.886e+01
2.390e+02 3.422e+01 -1.474e+02
2.624e+02 3.290e+01 1.592e+02
2.880e+02 3.164e+01 1.003e+02
3.162e+02 3.043e+01 3.523e+01
3.472e+02 2.923e+01 -3.684e+01
3.811e+02 2.796e+01 -1.166e+02
4.184e+02 2.655e+01 1.556e+02
4.594e+02 2.500e+01 5.952e+01
5.043e+02 2.332e+01 -4.533e+01
5.537e+02 2.159e+01 -1.597e+02
6.078e+02 1.981e+01 7.423e+01
6.673e+02 1.761e+01 -6.431e+01
7.326e+02 1.492e+01 1.471e+02
8.043e+02 1.238e+01 -9.666e+00
8.830e+02 1.102e+01 1.790e+02
9.694e+02 9.920e+00 -1.726e+01
1.064e+03 7.913e+00 1.251e+02
1.168e+03 5.378e+00 -1.088e+02
1.283e+03 3.260e+00 -2.289e+00
1.408e+03 1.461e+00 7.886e+01
1.546e+03 -1.376e-01 1.299e+02
1.697e+03 -2.433e+00 1.509e+02
1.863e+03 -3.964e+00 1.438e+02
2.046e+03 -5.305e+00 9.224e+01
2.246e+03 -7.312e+00 1.282e+00
2.465e+03 -9.554e+00 -1.315e+02
2.707e+03 -1.229e+01 4.413e+01
2.971e+03 -1.538e+01 1.703e+02
3.262e+03 -1.781e+01 -1.170e+02
3.581e+03 -2.001e+01 -9.456e+01
3.932e+03 -2.322e+01 -1.703e+02
4.317e+03 -2.761e+01 6.026e+01
4.739e+03 -3.510e+01 -1.694e+02
5.203e+03 -3.472e+01 -1.590e+02
5.712e+03 -4.859e+01 1.620e+02
6.270e+03 -6.316e+01 1.437e+02
6.884e+03 -4.871e+01 -1.491e+02
7.558e+03 -4.697e+01 -1.666e+02
8.297e+03 -4.786e+01 -5.597e+01
9.109e+03 -4.666e+01 3.194e+01
1.000e+04 -5.864e+01 4.879e+01
