# frequency  SPL  phase
1.000e+01 4.974e+01 -5.959e+01
1.098e+01 5.139e+01 -6.565e+01
1.205e+01 5.304e+01 -7.233e+01
1.323e+01 5.470e+01 -7.978e+01
1.453e+01 5.636e+01 -8.811e+01
1.595e+01 5.802e+01 -9.735e+01
1.751e+01 5.968e+01 -1.077e+02
1.922e+01 6.133e+01 -1.194e+02
2.110e+01 6.296e+01 -1.326e+02
2.317e+01 6.457e+01 -1.476e+02
2.543e+01 6.610e+01 -1.649e+02
2.792e+01 6.748e+01 1.751e+02
3.065e+01 6.858e+01 1.521e+02
3.365e+01 6.917e+01 1.263e+02
3.695e+01 6.909e+01 9.888e+01
4.056e+01 6.831e+01 7.203e+01
4.453e+01 6.701e+01 4.701e+01
4.889e+01 6.542e+01 2.418e+01
5.367e+01 6.369e+01 3.222e+00
5.892e+01 6.193e+01 -1.646e+01
6.469e+01 6.016e+01 -3.538e+01
7.102e+01 5.841e+01 -5.392e+01
7.796e+01 5.670e+01 -7.244e+01
8.559e+01 5.503e+01 -9.128e+01
9.397e+01 5.340e+01 -1.107e+02
1.032e+02 5.182e+01 -1.309e+02
1.132e+02 5.029e+01 -1.523e+02
1.243e+02 4.882e+01 -1.750e+02
1.365e+02 4.741e+01 1.605e+02
1.499e+02 4.604e+01 1.339e+02
1.645e+02 4.472e+01 1.049e+02
1.806e+02 4.342e+01 7.313e+01
1.983e+02 4.211e+01 3.827e+01
2.177e+02 4.076e+01 8.550e-02
2.390e+02 3.935e+01 -4.158e+01
2.624e+02 3.786e+01 -8.679e+01
2.880e+02 3.632e+01 -1.355e+02
3.162e+02 3.477e+01 1.721e+02
3.472e+02 3.334e+01 1.159e+02
3.811e+02 3.220e+01 5.456e+01
4.184e+02 3.137e+01 -1.408e+01
4.594e+02 3.063e+01 -9.206e+01
5.043e+02 2.968e+01 -1.795e+02
5.537e+02 2.842e+01 8.431e+01
6.078e+02 2.692e+01 -2.010e+01
6.673e+02 2.535e+01 -1.333e+02
7.326e+02 2.382e+01 1.033e+02
8.043e+02 2.235e+01 -3.233e+01
8.830e+02 2.073e+01 1.781e+02
9.694e+02 1.883e+01 1.483e+01
1.064e+03 1.685e+01 -1.623e+02
1.168e+03 1.489e+01 4.498e+00
1.283e+03 1.323e+01 1.546e+02
1.408e+03 1.190e+01 -7.959e+01
1.546e+03 1.005e+01 2.349e+01
1.697e+03 8.512e+00 1.019e+02
1.863e+03 6.537e+00 1.489e+02
2.046e+03 3.849e+00 1.720e+02
2.246e+03 1.332e+00 1.616e+02
2.465e+03 -1.223e+00 1.258e+02
2.707e+03 -2.511e+00 4.141e+01
2.971e+03 -3.573e+00 -8.966e+01
3.262e+03 -5.534e+00 9.414e+01
3.581e+03 -8.019e+00 -1.305e+02
3.932e+03 -8.747e+00 -6.846e+01
4.317e+03 -1.108e+01 -5.054e+01
4.739e+03 -1.360e+01 -1.158e+02
5.203e+03 -1.550e+01 1.070e+02
5.712e+03 -1.846e+01 -1.073e+02
6.270e+03 -2.053e+01 -5.909e+01
6.884e+03 -2.372e+01 -1.093e+02
7.558e+03 -2.664e+01 8.373e+01
8.297e+03 -3.170e+01 1.642e+02
9.109e+03 -3.311e+01 1.176e+02
1.000e+04 -3.652e+01 -9.666e+01
