# frequency  SPL  phase
1.000e+01 4.207e+01 1.160e+02
1.098e+01 4.356e+01 1.095e+02
1.205e+01 4.499e+01 1.023e+02
1.323e+01 4.639e+01 9.434e+01
1.453e+01 4.774e+01 8.544e+01
1.595e+01 4.899e+01 7.557e+01
1.751e+01 5.014e+01 6.452e+01
1.922e+01 5.113e+01 5.214e+01
2.110e+01 5.190e+01 3.813e+01
2.317e+01 5.233e+01 2.218e+01
2.543e+01 5.219e+01 4.013e+00
2.792e+01 5.103e+01 -1.693e+01
3.065e+01 4.754e+01 -4.069e+01
3.365e+01 3.249e+01 -6.180e+01
3.695e+01 4.658e+01 8.058e+01
4.056e+01 5.350e+01 5.292e+01
4.453e+01 5.685e+01 2.632e+01
4.889e+01 5.877e+01 1.613e+00
5.367e+01 5.995e+01 -2.148e+01
5.892e+01 6.072e+01 -4.353e+01
6.469e+01 6.124e+01 -6.509e+01
7.102e+01 6.161e+01 -8.653e+01
7.796e+01 6.187e+01 -1.082e+02
8.559e+01 6.206e+01 -1.305e+02
9.397e+01 6.219e+01 -1.537e+02
1.032e+02 6.229e+01 -1.780e+02
1.132e+02 6.235e+01 1.563e+02
1.243e+02 6.240e+01 1.290e+02
1.365e+02 6.243e+01 9.979e+01
1.499e+02 6.245e+01 6.837e+01
1.645e+02 6.245e+01 3.448e+01
1.806e+02 6.245e+01 -2.218e+00
1.983e+02 6.244e+01 -4.202e+01
2.177e+02 6.240e+01 -8.526e+01
2.390e+02 6.235e+01 -1.323e+02
2.624e+02 6.228e+01 1.767e+02
2.880e+02 6.221e+01 1.213e+02
3.162e+02 6.218e+01 6.121e+01
3.472e+02 6.228e+01 -4.247e+00
3.811e+02 6.255e+01 -7.623e+01
4.184e+02 6.301e+01 -1.563e+02
4.594e+02 6.355e+01 1.138e+02
5.043e+02 6.388e+01 1.281e+01
5.537e+02 6.369e+01 -9.820e+01
6.078e+02 6.318e+01 1.434e+02
6.673e+02 6.306e+01 1.513e+01
7.326e+02 6.303e+01 -1.294e+02
8.043e+02 6.213e+01 6.969e+01
8.830e+02 6.020e+01 -9.979e+01
9.694e+02 5.918e+01 8.168e+01
1.064e+03 5.849e+01 -1.200e+02
1.168e+03 5.728e+01 2.226e+01
1.283e+03 5.693e+01 1.423e+02
1.408e+03 5.610e+01 -1.253e+02
1.546e+03 5.446e+01 -5.715e+01
1.697e+03 5.375e+01 -1.341e+01
1.863e+03 5.213e+01 -3.972e+00
2.046e+03 5.094e+01 -4.003e+01
2.246e+03 4.734e+01 -1.047e+02
2.465e+03 4.145e+01 1.596e+02
2.707e+03 3.417e+01 3.145e+01
2.971e+03 3.261e+01 -8.055e+01
3.262e+03 3.803e+01 5.488e+01
3.581e+03 4.056e+01 1.018e+02
3.932e+03 3.952e+01 8.646e+01
4.317e+03 3.837e+01 -7.036e+00
4.739e+03 3.405e+01 -1.734e+02
5.203e+03 2.389e+01 -3.470e+01
5.712e+03 2.808e+01 6.233e+01
6.270e+03 3.210e+01 -2.399e+01
6.884e+03 2.999e+01 1.355e+02
7.558e+03 2.019e+01 -1.653e+02
8.297e+03 2.356e+01 1.681e+02
9.109e+03 2.429e+01 -1.054e+02
1.000e+04 1.026e+01 -1.174e+02
