# frequency  SPL  phase
1.000e+01 4.194e+01 1.156e+02
1.098e+01 4.342e+01 1.091e+02
1.205e+01 4.486e+01 1.019e+02
1.323e+01 4.626e+01 9.387e+01
1.453e+01 4.761e+01 8.492e+01
1.595e+01 4.886e+01 7.500e+01
1.751e+01 5.001e+01 6.389e+01
1.922e+01 5.100e+01 5.145e+01
2.110e+01 5.178e+01 3.737e+01
2.317e+01 5.221e+01 2.134e+01
2.543e+01 5.208e+01 3.085e+00
2.792e+01 5.092e+01 -1.796e+01
3.065e+01 4.744e+01 -4.183e+01
3.365e+01 3.239e+01 -6.306e+01
3.695e+01 4.649e+01 7.918e+01
4.056e+01 5.343e+01 5.136e+01
4.453e+01 5.679e+01 2.458e+01
4.889e+01 5.872e+01 -3.409e-01
5.367e+01 5.991e+01 -2.367e+01
5.892e+01 6.070e+01 -4.600e+01
6.469e+01 6.125e+01 -6.788e+01
7.102e+01 6.164e+01 -8.970e+01
7.796e+01 6.193e+01 -1.118e+02
8.559e+01 6.214e+01 -1.346e+02
9.397e+01 6.230e+01 -1.584e+02
1.032e+02 6.243e+01 1.766e+02
1.132e+02 6.252e+01 1.502e+02
1.243e+02 6.259e+01 1.220e+02
1.365e+02 6.264e+01 9.176e+01
1.499e+02 6.266e+01 5.922e+01
1.645e+02 6.267e+01 2.409e+01
1.806e+02 6.265e+01 -1.394e+01
1.983e+02 6.261e+01 -5.516e+01
2.177e+02 6.255e+01 -9.991e+01
2.390e+02 6.246e+01 -1.485e+02
2.624e+02 6.235e+01 1.587e+02
2.880e+02 6.226e+01 1.013e+02
3.162e+02 6.220e+01 3.862e+01
3.472e+02 6.221e+01 -3.006e+01
3.811e+02 6.227e+01 -1.060e+02
4.184e+02 6.226e+01 1.699e+02
4.594e+02 6.206e+01 7.730e+01
5.043e+02 6.165e+01 -2.358e+01
5.537e+02 6.113e+01 -1.331e+02
6.078e+02 6.056e+01 1.076e+02
6.673e+02 5.997e+01 -2.283e+01
7.326e+02 5.928e+01 -1.659e+02
8.043e+02 5.842e+01 3.861e+01
8.830e+02 5.779e+01 -1.306e+02
9.694e+02 5.733e+01 4.106e+01
1.064e+03 5.647e+01 -1.687e+02
1.168e+03 5.443e+01 -3.934e+01
1.283e+03 5.074e+01 7.940e+01
1.408e+03 5.012e+01 -1.631e+02
1.546e+03 5.236e+01 -1.008e+02
1.697e+03 5.155e+01 -8.458e+01
1.863e+03 4.620e+01 -8.891e+01
2.046e+03 4.332e+01 -9.161e+01
2.246e+03 4.306e+01 -1.604e+02
2.465e+03 3.790e+01 7.491e+01
2.707e+03 2.666e+01 -5.198e+01
2.971e+03 2.722e+01 1.768e+02
3.262e+03 3.255e+01 -6.723e+01
3.581e+03 3.427e+01 3.654e+00
3.932e+03 3.397e+01 -3.884e+01
4.317e+03 2.292e+01 -1.172e+02
4.739e+03 3.137e+01 1.505e+01
5.203e+03 2.434e+01 1.783e+02
5.712e+03 1.204e+01 -1.251e+02
6.270e+03 2.847e+01 -1.311e+02
6.884e+03 2.485e+01 -4.781e+01
7.558e+03 1.587e+01 -1.688e+01
8.297e+03 1.559e+01 1.397e+00
9.109e+03 2.523e+01 1.079e+02
1.000e+04 -5.670e+00 -3.438e+01
