# frequency  SPL  phase
1.000e+01 4.153e+01 1.146e+02
1.098e+01 4.302e+01 1.079e+02
1.205e+01 4.446e+01 1.006e+02
1.323e+01 4.586e+01 9.248e+01
1.453e+01 4.720e+01 8.340e+01
1.595e+01 4.846e+01 7.333e+01
1.751e+01 4.961e+01 6.206e+01
1.922e+01 5.060e+01 4.943e+01
2.110e+01 5.137e+01 3.516e+01
2.317e+01 5.180e+01 1.891e+01
2.543e+01 5.168e+01 4.228e-01
2.792e+01 5.052e+01 -2.088e+01
3.065e+01 4.704e+01 -4.504e+01
3.365e+01 3.199e+01 -6.658e+01
3.695e+01 4.609e+01 7.532e+01
4.056e+01 5.302e+01 4.712e+01
4.453e+01 5.639e+01 1.993e+01
4.889e+01 5.831e+01 -5.441e+00
5.367e+01 5.951e+01 -2.926e+01
5.892e+01 6.030e+01 -5.214e+01
6.469e+01 6.085e+01 -7.461e+01
7.102e+01 6.124e+01 -9.707e+01
7.796e+01 6.153e+01 -1.199e+02
8.559e+01 6.174e+01 -1.435e+02
9.397e+01 6.191e+01 -1.681e+02
1.032e+02 6.204e+01 1.660e+02
1.132e+02 6.214e+01 1.385e+02
1.243e+02 6.222e+01 1.092e+02
1.365e+02 6.228e+01 7.771e+01
1.499e+02 6.232e+01 4.381e+01
1.645e+02 6.235e+01 7.195e+00
1.806e+02 6.236e+01 -3.247e+01
1.983e+02 6.237e+01 -7.550e+01
2.177e+02 6.236e+01 -1.223e+02
2.390e+02 6.237e+01 -1.732e+02
2.624e+02 6.239e+01 1.311e+02
2.880e+02 6.241e+01 6.999e+01
3.162e+02 6.243e+01 2.844e+00
3.472e+02 6.239e+01 -7.102e+01
3.811e+02 6.225e+01 -1.522e+02
4.184e+02 6.196e+01 1.188e+02
4.594e+02 6.148e+01 2.164e+01
5.043e+02 6.077e+01 -8.383e+01
5.537e+02 5.994e+01 1.625e+02
6.078e+02 5.923e+01 3.952e+01
6.673e+02 5.873e+01 -9.600e+01
7.326e+02 5.808e+01 1.135e+02
8.043e+02 5.683e+01 -5.139e+01
8.830e+02 5.507e+01 1.336e+02
9.694e+02 5.430e+01 -5.001e+01
1.064e+03 5.540e+01 9.901e+01
1.168e+03 5.538e+01 -1.449e+02
1.283e+03 5.373e+01 -4.848e+01
1.408e+03 5.268e+01 2.949e+01
1.546e+03 5.090e+01 6.800e+01
1.697e+03 4.597e+01 9.348e+01
1.863e+03 4.520e+01 9.490e+01
2.046e+03 4.389e+01 5.612e+01
2.246e+03 4.354e+01 -4.155e+01
2.465e+03 3.845e+01 -1.752e+02
2.707e+03 2.823e+01 1.398e+01
2.971e+03 2.689e+01 -1.307e+02
3.262e+03 3.106e+01 -2.722e+01
3.581e+03 3.681e+01 -4.728e+01
3.932e+03 3.660e+01 -1.022e+02
4.317e+03 3.408e+01 1.601e+02
4.739e+03 2.947e+01 -9.605e+01
5.203e+03 2.249e+01 1.769e+01
5.712e+03 2.447e+01 3.485e+01
6.270e+03 2.568e+01 -1.398e+02
6.884e+03 2.503e+01 -2.291e+01
7.558e+03 1.260e+01 -6.113e+01
8.297e+03 1.785e+01 1.394e+02
9.109e+03 2.530e+01 1.553e+02
1.000e+04 1.311e+01 2.624e+01
