# frequency  SPL  phase
1.000e+01 4.065e+01 -4.710e+01
1.151e+01 4.488e+01 -6.016e+01
1.326e+01 4.924e+01 -7.488e+01
1.526e+01 5.369e+01 -9.131e+01
1.758e+01 5.832e+01 -1.102e+02
2.024e+01 6.312e+01 -1.324e+02
2.330e+01 6.807e+01 -1.600e+02
2.683e+01 7.287e+01 1.633e+02
3.089e+01 7.627e+01 1.161e+02
3.556e+01 7.729e+01 6.870e+01
4.095e+01 7.713e+01 2.942e+01
4.715e+01 7.686e+01 -4.041e+00
5.429e+01 7.673e+01 -3.533e+01
6.251e+01 7.671e+01 -6.658e+01
7.197e+01 7.677e+01 -9.904e+01
8.286e+01 7.685e+01 -1.336e+02
9.541e+01 7.693e+01 -1.711e+02
1.098e+02 7.700e+01 1.479e+02
1.265e+02 7.704e+01 1.025e+02
1.456e+02 7.704e+01 5.185e+01
1.677e+02 7.699e+01 -4.960e+00
1.931e+02 7.690e+01 -6.898e+01
2.223e+02 7.675e+01 -1.414e+02
2.559e+02 7.654e+01 1.365e+02
2.947e+02 7.626e+01 4.300e+01
3.393e+02 7.584e+01 -6.322e+01
3.907e+02 7.533e+01 1.766e+02
4.498e+02 7.494e+01 4.099e+01
5.180e+02 7.501e+01 -1.142e+02
5.964e+02 7.552e+01 6.561e+01
6.866e+02 7.644e+01 -1.452e+02
7.906e+02 7.724e+01 -3.454e+01
9.103e+02 7.672e+01 3.759e+01
1.048e+03 7.636e+01 7.189e+01
1.207e+03 7.513e+01 4.993e+01
1.390e+03 7.288e+01 -1.865e+01
1.600e+03 7.025e+01 -1.531e+02
1.842e+03 6.770e+01 5.848e+00
2.121e+03 6.569e+01 6.300e+01
2.442e+03 5.909e+01 1.886e+01
2.812e+03 5.356e+01 -1.220e+02
3.237e+03 5.281e+01 -5.576e+01
3.728e+03 5.285e+01 -1.426e+02
4.292e+03 5.058e+01 -3.061e+00
4.942e+03 4.564e+01 -6.489e+01
5.690e+03 3.453e+01 3.829e+01
6.551e+03 3.774e+01 -3.547e+01
7.543e+03 3.166e+01 -1.444e+02
8.685e+03 2.057e+01 -7.138e+01
1.000e+04 2.271e+01 1.339e+02
