# frequency  SPL  phase
1.000e+01 4.405e+01 -4.878e+01
1.151e+01 4.772e+01 -6.008e+01
1.326e+01 5.157e+01 -7.343e+01
1.526e+01 5.555e+01 -8.891e+01
1.758e+01 5.976e+01 -1.073e+02
2.024e+01 6.420e+01 -1.293e+02
2.330e+01 6.885e+01 -1.570e+02
2.683e+01 7.339e+01 1.660e+02
3.089e+01 7.658e+01 1.183e+02
3.556e+01 7.744e+01 7.018e+01
4.095e+01 7.716e+01 3.012e+01
4.715e+01 7.679e+01 -4.195e+00
5.429e+01 7.658e+01 -3.642e+01
6.251e+01 7.652e+01 -6.867e+01
7.197e+01 7.655e+01 -1.022e+02
8.286e+01 7.663e+01 -1.380e+02
9.541e+01 7.672e+01 -1.768e+02
1.098e+02 7.681e+01 1.407e+02
1.265e+02 7.688e+01 9.354e+01
1.456e+02 7.694e+01 4.096e+01
1.677e+02 7.698e+01 -1.815e+01
1.931e+02 7.698e+01 -8.486e+01
2.223e+02 7.696e+01 -1.605e+02
2.559e+02 7.691e+01 1.135e+02
2.947e+02 7.683e+01 1.516e+01
3.393e+02 7.666e+01 -9.766e+01
3.907e+02 7.627e+01 1.331e+02
4.498e+02 7.559e+01 -1.425e+01
5.180e+02 7.469e+01 1.786e+02
5.964e+02 7.359e+01 -1.142e+01
6.866e+02 7.241e+01 1.338e+02
7.906e+02 7.198e+01 -1.116e+02
9.103e+02 7.126e+01 -4.254e+01
1.048e+03 6.977e+01 -6.271e+00
1.207e+03 6.917e+01 -2.975e+01
1.390e+03 6.730e+01 -9.337e+01
1.600e+03 6.834e+01 1.210e+02
1.842e+03 6.794e+01 -1.136e+02
2.121e+03 6.454e+01 -8.471e+01
2.442e+03 5.865e+01 -1.508e+02
2.812e+03 5.255e+01 2.324e+01
3.237e+03 4.964e+01 6.260e+01
3.728e+03 5.144e+01 -3.215e+01
4.292e+03 5.076e+01 4.685e+01
4.942e+03 4.559e+01 -5.291e+01
5.690e+03 3.608e+01 -2.910e+01
6.551e+03 3.570e+01 1.791e+02
7.543e+03 2.799e+01 7.360e+00
8.685e+03 1.021e+01 -7.707e+01
1.000e+04 2.442e+01 1.047e+02
