# frequency  SPL  phase
1.000e+01 3.401e+01 -4.080e+01
1.151e+01 4.050e+01 -6.006e+01
1.326e+01 4.651e+01 -7.687e+01
1.526e+01 5.214e+01 -9.343e+01
1.758e+01 5.765e+01 -1.114e+02
2.024e+01 6.309e+01 -1.320e+02
2.330e+01 6.853e+01 -1.576e+02
2.683e+01 7.369e+01 1.679e+02
3.089e+01 7.736e+01 1.233e+02
3.556e+01 7.858e+01 7.868e+01
4.095e+01 7.856e+01 4.248e+01
4.715e+01 7.839e+01 1.245e+01
5.429e+01 7.832e+01 -1.503e+01
6.251e+01 7.834e+01 -4.199e+01
7.197e+01 7.842e+01 -6.959e+01
8.286e+01 7.851e+01 -9.860e+01
9.541e+01 7.859e+01 -1.297e+02
1.098e+02 7.866e+01 -1.633e+02
1.265e+02 7.873e+01 1.598e+02
1.456e+02 7.883e+01 1.190e+02
1.677e+02 7.898e+01 7.306e+01
1.931e+02 7.917e+01 2.080e+01
2.223e+02 7.937e+01 -3.933e+01
2.559e+02 7.946e+01 -1.089e+02
2.947e+02 7.928e+01 1.706e+02
3.393e+02 7.859e+01 7.830e+01
3.907e+02 7.714e+01 -2.609e+01
4.498e+02 7.468e+01 -1.421e+02
5.180e+02 7.082e+01 9.236e+01
5.964e+02 6.350e+01 -2.122e+01
6.866e+02 7.090e+01 -1.102e+02
7.906e+02 7.886e+01 5.049e+01
9.103e+02 8.370e+01 1.666e+02
1.048e+03 8.627e+01 -1.191e+02
1.207e+03 8.681e+01 -8.504e+01
1.390e+03 8.596e+01 -9.894e+01
1.600e+03 8.124e+01 -1.696e+02
1.842e+03 6.517e+01 1.163e+02
2.121e+03 7.797e+01 -6.784e+00
2.442e+03 7.698e+01 5.994e+01
2.812e+03 6.935e+01 2.347e+01
3.237e+03 6.547e+01 2.760e+01
3.728e+03 6.910e+01 9.451e+01
4.292e+03 5.015e+01 1.214e+02
4.942e+03 6.549e+01 -2.933e+01
5.690e+03 5.588e+01 6.155e+01
6.551e+03 3.951e+01 1.668e+02
7.543e+03 4.830e+01 -1.587e+01
8.685e+03 4.746e+01 3.901e+01
1.000e+04 3.759e+01 1.069e+02
