# frequency  SPL  phase
1.000e+01 6.647e-01 1.617e+02
1.151e+01 3.108e+00 1.590e+02
1.326e+01 5.567e+00 1.558e+02
1.526e+01 8.008e+00 1.521e+02
1.758e+01 1.047e+01 1.479e+02
2.024e+01 1.292e+01 1.430e+02
2.330e+01 1.536e+01 1.375e+02
2.683e+01 1.782e+01 1.310e+02
3.089e+01 2.027e+01 1.236e+02
3.556e+01 2.272e+01 1.152e+02
4.095e+01 2.519e+01 1.054e+02
4.715e+01 2.765e+01 9.421e+01
5.429e+01 3.014e+01 8.134e+01
6.251e+01 3.263e+01 6.655e+01
7.197e+01 3.516e+01 4.956e+01
8.286e+01 3.774e+01 2.998e+01
9.541e+01 4.038e+01 7.328e+00
1.098e+02 4.310e+01 -1.898e+01
1.265e+02 4.592e+01 -4.977e+01
1.456e+02 4.884e+01 -8.595e+01
1.677e+02 5.181e+01 -1.286e+02
1.931e+02 5.477e+01 -1.789e+02
2.223e+02 5.762e+01 1.226e+02
2.559e+02 6.030e+01 5.554e+01
2.947e+02 6.288e+01 -2.026e+01
3.393e+02 6.568e+01 -1.057e+02
3.907e+02 6.906e+01 1.548e+02
4.498e+02 7.266e+01 3.475e+01
5.180e+02 7.566e+01 -1.070e+02
5.964e+02 7.795e+01 9.123e+01
6.866e+02 7.989e+01 -9.141e+01
7.906e+02 8.183e+01 5.893e+01
9.103e+02 8.294e+01 1.777e+02
1.048e+03 8.366e+01 -9.030e+01
1.207e+03 8.562e+01 -3.750e+01
1.390e+03 8.703e+01 -3.987e+01
1.600e+03 8.790e+01 -9.417e+01
1.842e+03 8.706e+01 1.523e+02
2.121e+03 8.613e+01 -2.508e+01
2.442e+03 8.543e+01 8.210e+01
2.812e+03 8.485e+01 1.052e+02
3.237e+03 8.525e+01 1.345e+01
3.728e+03 8.463e+01 -1.797e+02
4.292e+03 8.744e+01 1.770e+02
4.942e+03 8.449e+01 1.952e+01
5.690e+03 8.418e+01 4.850e+01
6.551e+03 8.485e+01 -1.435e+02
7.543e+03 8.433e+01 1.494e+02
8.685e+03 8.387e+01 1.341e+02
1.000e+04 8.438e+01 1.740e+02
