# frequency  SPL  phase
1.000e+01 5.773e-01 1.615e+02
1.151e+01 3.020e+00 1.588e+02
1.326e+01 5.479e+00 1.555e+02
1.526e+01 7.920e+00 1.518e+02
1.758e+01 1.038e+01 1.476e+02
2.024e+01 1.283e+01 1.427e+02
2.330e+01 1.527e+01 1.370e+02
2.683e+01 1.772e+01 1.306e+02
3.089e+01 2.017e+01 1.231e+02
3.556e+01 2.262e+01 1.146e+02
4.095e+01 2.508e+01 1.047e+02
4.715e+01 2.755e+01 9.339e+01
5.429e+01 3.002e+01 8.041e+01
6.251e+01 3.251e+01 6.550e+01
7.197e+01 3.502e+01 4.839e+01
8.286e+01 3.757e+01 2.871e+01
9.541e+01 4.019e+01 5.981e+00
1.098e+02 4.289e+01 -2.034e+01
1.265e+02 4.570e+01 -5.108e+01
1.456e+02 4.862e+01 -8.715e+01
1.677e+02 5.163e+01 -1.297e+02
1.931e+02 5.466e+01 1.800e+02
2.223e+02 5.761e+01 1.211e+02
2.559e+02 6.038e+01 5.294e+01
2.947e+02 6.296e+01 -2.463e+01
3.393e+02 6.554e+01 -1.117e+02
3.907e+02 6.860e+01 1.491e+02
4.498e+02 7.221e+01 3.039e+01
5.180e+02 7.532e+01 -1.117e+02
5.964e+02 7.755e+01 8.618e+01
6.866e+02 7.962e+01 -9.628e+01
7.906e+02 8.157e+01 5.311e+01
9.103e+02 8.301e+01 1.748e+02
1.048e+03 8.497e+01 -9.842e+01
1.207e+03 8.660e+01 -5.784e+01
1.390e+03 8.702e+01 -6.284e+01
1.600e+03 8.663e+01 -1.192e+02
1.842e+03 8.551e+01 1.337e+02
2.121e+03 8.508e+01 -4.029e+01
2.442e+03 8.557e+01 6.969e+01
2.812e+03 8.736e+01 7.670e+01
3.237e+03 8.548e+01 -2.248e+01
3.728e+03 8.627e+01 1.236e+02
4.292e+03 8.433e+01 1.284e+02
4.942e+03 8.604e+01 -2.386e+01
5.690e+03 8.415e+01 -1.700e+01
6.551e+03 8.136e+01 1.522e+02
7.543e+03 8.511e+01 6.522e+01
8.685e+03 8.285e+01 4.621e+01
1.000e+04 8.358e+01 6.945e+01
