# frequency  SPL  phase
1.000e+01 -2.228e+00 1.548e+02
1.151e+01 2.147e-01 1.510e+02
1.326e+01 2.673e+00 1.466e+02
1.526e+01 5.112e+00 1.416e+02
1.758e+01 7.569e+00 1.357e+02
2.024e+01 1.001e+01 1.290e+02
2.330e+01 1.246e+01 1.213e+02
2.683e+01 1.490e+01 1.124e+02
3.089e+01 1.735e+01 1.022e+02
3.556e+01 1.979e+01 9.045e+01
4.095e+01 2.223e+01 7.689e+01
4.715e+01 2.467e+01 6.129e+01
5.429e+01 2.711e+01 4.334e+01
6.251e+01 2.954e+01 2.268e+01
7.197e+01 3.197e+01 -1.093e+00
8.286e+01 3.440e+01 -2.845e+01
9.541e+01 3.682e+01 -5.997e+01
1.098e+02 3.924e+01 -9.625e+01
1.265e+02 4.165e+01 -1.381e+02
1.456e+02 4.405e+01 1.738e+02
1.677e+02 4.643e+01 1.183e+02
1.931e+02 4.879e+01 5.447e+01
2.223e+02 5.112e+01 -1.907e+01
2.559e+02 5.343e+01 -1.039e+02
2.947e+02 5.570e+01 1.579e+02
3.393e+02 5.778e+01 4.412e+01
3.907e+02 5.948e+01 -8.712e+01
4.498e+02 6.060e+01 1.235e+02
5.180e+02 6.136e+01 -4.399e+01
5.964e+02 6.218e+01 1.256e+02
6.866e+02 6.240e+01 -9.301e+01
7.906e+02 6.148e+01 2.985e+01
9.103e+02 6.595e+01 1.260e+02
1.048e+03 6.934e+01 1.452e+02
1.207e+03 7.198e+01 1.219e+02
1.390e+03 7.381e+01 2.768e+01
1.600e+03 7.457e+01 -1.246e+02
1.842e+03 7.437e+01 1.247e+00
2.121e+03 7.242e+01 4.550e+01
2.442e+03 6.970e+01 8.300e+00
2.812e+03 6.837e+01 -1.396e+02
3.237e+03 6.885e+01 -5.793e+01
3.728e+03 7.033e+01 -1.339e+02
4.292e+03 6.526e+01 -2.123e+01
4.942e+03 6.301e+01 -1.347e+02
5.690e+03 6.103e+01 -7.237e+01
6.551e+03 6.173e+01 6.449e+01
7.543e+03 5.414e+01 -1.142e+02
8.685e+03 5.524e+01 7.867e+01
1.000e+04 4.956e+01 -1.530e+02
