# frequency  SPL  phase
1.000e+01 -1.120e+00 1.577e+02
1.151e+01 1.322e+00 1.544e+02
1.326e+01 3.779e+00 1.505e+02
1.526e+01 6.218e+00 1.460e+02
1.758e+01 8.674e+00 1.409e+02
2.024e+01 1.112e+01 1.349e+02
2.330e+01 1.356e+01 1.281e+02
2.683e+01 1.600e+01 1.203e+02
3.089e+01 1.844e+01 1.113e+02
3.556e+01 2.088e+01 1.009e+02
4.095e+01 2.332e+01 8.892e+01
4.715e+01 2.575e+01 7.517e+01
5.429e+01 2.818e+01 5.935e+01
6.251e+01 3.061e+01 4.116e+01
7.197e+01 3.302e+01 2.026e+01
8.286e+01 3.543e+01 -3.741e+00
9.541e+01 3.784e+01 -3.133e+01
1.098e+02 4.025e+01 -6.298e+01
1.265e+02 4.266e+01 -9.935e+01
1.456e+02 4.509e+01 -1.411e+02
1.677e+02 4.755e+01 1.709e+02
1.931e+02 5.008e+01 1.156e+02
2.223e+02 5.267e+01 5.155e+01
2.559e+02 5.533e+01 -2.276e+01
2.947e+02 5.803e+01 -1.094e+02
3.393e+02 6.063e+01 1.497e+02
3.907e+02 6.296e+01 3.304e+01
4.498e+02 6.493e+01 -1.004e+02
5.180e+02 6.665e+01 1.096e+02
5.964e+02 6.885e+01 -6.073e+01
6.866e+02 7.144e+01 9.972e+01
7.906e+02 7.350e+01 -1.328e+02
9.103e+02 7.528e+01 -3.843e+01
1.048e+03 7.697e+01 1.306e+01
1.207e+03 7.716e+01 2.125e+01
1.390e+03 7.803e+01 -1.861e+01
1.600e+03 7.707e+01 -1.174e+02
1.842e+03 7.761e+01 8.680e+01
2.121e+03 7.821e+01 -1.632e+02
2.442e+03 7.656e+01 -1.258e+02
2.812e+03 7.696e+01 1.588e+02
3.237e+03 7.616e+01 -3.291e+01
3.728e+03 7.520e+01 4.244e+00
4.292e+03 7.382e+01 -1.141e+02
4.942e+03 7.306e+01 -5.831e+01
5.690e+03 7.168e+01 1.482e+02
6.551e+03 6.909e+01 1.223e+02
7.543e+03 6.381e+01 1.759e+02
8.685e+03 6.097e+01 -7.125e+01
1.000e+04 4.825e+01 5.630e+01
