# frequency  SPL  phase
1.000e+01 -2.372e+00 1.544e+02
1.151e+01 7.066e-02 1.505e+02
1.326e+01 2.529e+00 1.460e+02
1.526e+01 4.969e+00 1.409e+02
1.758e+01 7.427e+00 1.350e+02
2.024e+01 9.874e+00 1.282e+02
2.330e+01 1.232e+01 1.204e+02
2.683e+01 1.477e+01 1.113e+02
3.089e+01 1.721e+01 1.009e+02
3.556e+01 1.966e+01 8.899e+01
4.095e+01 2.211e+01 7.521e+01
4.715e+01 2.455e+01 5.936e+01
5.429e+01 2.700e+01 4.111e+01
6.251e+01 2.945e+01 2.012e+01
7.197e+01 3.190e+01 -4.036e+00
8.286e+01 3.435e+01 -3.184e+01
9.541e+01 3.680e+01 -6.388e+01
1.098e+02 3.927e+01 -1.008e+02
1.265e+02 4.174e+01 -1.433e+02
1.456e+02 4.422e+01 1.677e+02
1.677e+02 4.670e+01 1.113e+02
1.931e+02 4.920e+01 4.613e+01
2.223e+02 5.171e+01 -2.897e+01
2.559e+02 5.424e+01 -1.157e+02
2.947e+02 5.676e+01 1.437e+02
3.393e+02 5.915e+01 2.753e+01
3.907e+02 6.137e+01 -1.056e+02
4.498e+02 6.365e+01 1.018e+02
5.180e+02 6.601e+01 -7.530e+01
5.964e+02 6.804e+01 7.852e+01
6.866e+02 6.930e+01 -1.592e+02
7.906e+02 6.976e+01 -6.754e+01
9.103e+02 7.071e+01 -1.635e+01
1.048e+03 6.873e+01 -1.631e+01
1.207e+03 6.697e+01 -4.183e+01
1.390e+03 6.319e+01 -1.091e+02
1.600e+03 6.669e+01 1.021e+02
1.842e+03 6.995e+01 -1.331e+02
2.121e+03 7.124e+01 -1.105e+02
2.442e+03 7.184e+01 1.704e+02
2.812e+03 7.014e+01 -3.999e+01
3.237e+03 6.640e+01 5.375e+00
3.728e+03 4.428e+01 2.075e+00
4.292e+03 6.715e+01 2.991e+01
4.942e+03 6.911e+01 -1.611e+02
5.690e+03 5.804e+01 8.881e+01
6.551e+03 6.193e+01 -4.122e+01
7.543e+03 6.205e+01 -2.433e+01
8.685e+03 5.764e+01 1.696e+02
1.000e+04 4.732e+01 4.978e+01
