# frequency  SPL  phase
1.000e+01 5.804e-01 1.615e+02
1.151e+01 3.024e+00 1.588e+02
1.326e+01 5.483e+00 1.555e+02
1.526e+01 7.924e+00 1.519e+02
1.758e+01 1.038e+01 1.476e+02
2.024e+01 1.283e+01 1.427e+02
2.330e+01 1.528e+01 1.371e+02
2.683e+01 1.773e+01 1.306e+02
3.089e+01 2.018e+01 1.231e+02
3.556e+01 2.264e+01 1.146e+02
4.095e+01 2.510e+01 1.047e+02
4.715e+01 2.757e+01 9.340e+01
5.429e+01 3.005e+01 8.040e+01
6.251e+01 3.255e+01 6.547e+01
7.197e+01 3.507e+01 4.829e+01
8.286e+01 3.764e+01 2.850e+01
9.541e+01 4.028e+01 5.580e+00
1.098e+02 4.299e+01 -2.105e+01
1.265e+02 4.579e+01 -5.221e+01
1.456e+02 4.867e+01 -8.877e+01
1.677e+02 5.158e+01 -1.318e+02
1.931e+02 5.447e+01 1.778e+02
2.223e+02 5.725e+01 1.194e+02
2.559e+02 5.990e+01 5.259e+01
2.947e+02 6.255e+01 -2.297e+01
3.393e+02 6.549e+01 -1.092e+02
3.907e+02 6.881e+01 1.496e+02
4.498e+02 7.219e+01 2.936e+01
5.180e+02 7.521e+01 -1.116e+02
5.964e+02 7.765e+01 8.602e+01
6.866e+02 7.971e+01 -9.787e+01
7.906e+02 8.171e+01 4.944e+01
9.103e+02 8.237e+01 1.662e+02
1.048e+03 8.283e+01 -1.032e+02
1.207e+03 8.375e+01 -4.751e+01
1.390e+03 8.636e+01 -4.249e+01
1.600e+03 8.799e+01 -9.806e+01
1.842e+03 8.877e+01 1.402e+02
2.121e+03 8.772e+01 -5.022e+01
2.442e+03 8.589e+01 5.219e+01
2.812e+03 8.428e+01 7.205e+01
3.237e+03 8.582e+01 -1.362e+01
3.728e+03 8.564e+01 1.185e+02
4.292e+03 8.215e+01 1.315e+02
4.942e+03 8.598e+01 -1.903e+01
5.690e+03 8.429e+01 -1.444e+01
6.551e+03 8.513e+01 1.481e+02
7.543e+03 8.366e+01 6.712e+01
8.685e+03 8.273e+01 5.203e+01
1.000e+04 8.344e+01 6.731e+01
