# frequency  SPL  phase
1.000e+01 -5.904e-01 1.590e+02
1.151e+01 1.851e+00 1.558e+02
1.326e+01 4.308e+00 1.522e+02
1.526e+01 6.746e+00 1.480e+02
1.758e+01 9.201e+00 1.431e+02
2.024e+01 1.164e+01 1.375e+02
2.330e+01 1.408e+01 1.311e+02
2.683e+01 1.653e+01 1.238e+02
3.089e+01 1.897e+01 1.153e+02
3.556e+01 2.140e+01 1.055e+02
4.095e+01 2.384e+01 9.430e+01
4.715e+01 2.627e+01 8.142e+01
5.429e+01 2.870e+01 6.663e+01
6.251e+01 3.113e+01 4.966e+01
7.197e+01 3.356e+01 3.019e+01
8.286e+01 3.600e+01 7.869e+00
9.541e+01 3.847e+01 -1.777e+01
1.098e+02 4.097e+01 -4.722e+01
1.265e+02 4.353e+01 -8.118e+01
1.456e+02 4.617e+01 -1.204e+02
1.677e+02 4.889e+01 -1.661e+02
1.931e+02 5.170e+01 1.407e+02
2.223e+02 5.454e+01 7.858e+01
2.559e+02 5.737e+01 6.345e+00
2.947e+02 6.018e+01 -7.724e+01
3.393e+02 6.301e+01 -1.738e+02
3.907e+02 6.585e+01 7.383e+01
4.498e+02 6.849e+01 -5.725e+01
5.180e+02 7.054e+01 1.513e+02
5.964e+02 7.195e+01 -1.739e+01
6.866e+02 7.437e+01 1.520e+02
7.906e+02 7.656e+01 -7.856e+01
9.103e+02 7.661e+01 2.195e+01
1.048e+03 7.680e+01 9.485e+01
1.207e+03 7.783e+01 1.293e+02
1.390e+03 7.981e+01 1.107e+02
1.600e+03 8.191e+01 2.863e+01
1.842e+03 8.305e+01 -1.259e+02
2.121e+03 8.306e+01 4.036e+00
2.442e+03 8.120e+01 5.529e+01
2.812e+03 8.001e+01 2.062e+01
3.237e+03 8.100e+01 -1.327e+02
3.728e+03 8.105e+01 -6.747e+01
4.292e+03 7.915e+01 -1.501e+02
4.942e+03 7.958e+01 -4.070e+01
5.690e+03 7.850e+01 -1.397e+02
6.551e+03 7.849e+01 -1.041e+02
7.543e+03 7.538e+01 9.951e+00
8.685e+03 7.411e+01 -1.715e+02
1.000e+04 6.953e+01 2.570e+01
