# frequency  SPL  phase
1.000e+01 -2.690e+00 1.564e+02
1.151e+01 -2.477e-01 1.529e+02
1.326e+01 2.210e+00 1.487e+02
1.526e+01 4.650e+00 1.440e+02
1.758e+01 7.107e+00 1.385e+02
2.024e+01 9.553e+00 1.323e+02
2.330e+01 1.200e+01 1.251e+02
2.683e+01 1.444e+01 1.167e+02
3.089e+01 1.689e+01 1.072e+02
3.556e+01 1.933e+01 9.618e+01
4.095e+01 2.177e+01 8.349e+01
4.715e+01 2.422e+01 6.890e+01
5.429e+01 2.666e+01 5.210e+01
6.251e+01 2.909e+01 3.278e+01
7.197e+01 3.152e+01 1.055e+01
8.286e+01 3.395e+01 -1.501e+01
9.541e+01 3.638e+01 -4.443e+01
1.098e+02 3.881e+01 -7.824e+01
1.265e+02 4.124e+01 -1.172e+02
1.456e+02 4.367e+01 -1.618e+02
1.677e+02 4.612e+01 1.467e+02
1.931e+02 4.859e+01 8.750e+01
2.223e+02 5.110e+01 1.928e+01
2.559e+02 5.365e+01 -5.937e+01
2.947e+02 5.628e+01 -1.503e+02
3.393e+02 5.898e+01 1.042e+02
3.907e+02 6.165e+01 -1.853e+01
4.498e+02 6.417e+01 -1.609e+02
5.180e+02 6.634e+01 3.480e+01
5.964e+02 6.811e+01 -1.522e+02
6.866e+02 6.980e+01 -4.164e+00
7.906e+02 7.212e+01 1.123e+02
9.103e+02 7.448e+01 -1.753e+02
1.048e+03 7.520e+01 -1.496e+02
1.207e+03 7.444e+01 -1.622e+02
1.390e+03 7.498e+01 1.335e+02
1.600e+03 7.372e+01 2.611e-01
1.842e+03 7.284e+01 1.622e+02
2.121e+03 6.883e+01 -1.125e+02
2.442e+03 6.498e+01 -1.300e+02
2.812e+03 6.288e+01 1.799e+02
3.237e+03 6.728e+01 -4.680e+01
3.728e+03 7.211e+01 -8.636e+01
4.292e+03 7.233e+01 6.357e+01
4.942e+03 7.026e+01 2.123e+01
5.690e+03 6.306e+01 1.186e+02
6.551e+03 5.663e+01 8.339e+01
7.543e+03 6.465e+01 -1.756e+01
8.685e+03 5.715e+01 -1.063e+02
1.000e+04 4.104e+01 -1.298e+02
