# frequency  SPL  phase
1.000e+01 -2.902e+00 1.559e+02
1.151e+01 -4.594e-01 1.522e+02
1.326e+01 1.999e+00 1.480e+02
1.526e+01 4.439e+00 1.432e+02
1.758e+01 6.896e+00 1.376e+02
2.024e+01 9.343e+00 1.311e+02
2.330e+01 1.179e+01 1.237e+02
2.683e+01 1.424e+01 1.152e+02
3.089e+01 1.668e+01 1.054e+02
3.556e+01 1.912e+01 9.416e+01
4.095e+01 2.157e+01 8.116e+01
4.715e+01 2.402e+01 6.621e+01
5.429e+01 2.646e+01 4.899e+01
6.251e+01 2.890e+01 2.918e+01
7.197e+01 3.134e+01 6.386e+00
8.286e+01 3.378e+01 -1.984e+01
9.541e+01 3.622e+01 -5.005e+01
1.098e+02 3.865e+01 -8.480e+01
1.265e+02 4.109e+01 -1.248e+02
1.456e+02 4.353e+01 -1.708e+02
1.677e+02 4.597e+01 1.362e+02
1.931e+02 4.842e+01 7.516e+01
2.223e+02 5.087e+01 4.873e+00
2.559e+02 5.334e+01 -7.602e+01
2.947e+02 5.584e+01 -1.692e+02
3.393e+02 5.842e+01 8.326e+01
3.907e+02 6.106e+01 -4.157e+01
4.498e+02 6.368e+01 1.734e+02
5.180e+02 6.606e+01 4.436e+00
5.964e+02 6.792e+01 1.698e+02
6.866e+02 6.910e+01 -5.285e+01
7.906e+02 6.980e+01 5.643e+01
9.103e+02 7.094e+01 1.318e+02
1.048e+03 7.219e+01 1.565e+02
1.207e+03 7.054e+01 1.275e+02
1.390e+03 6.688e+01 8.396e+01
1.600e+03 7.078e+01 -3.761e+01
1.842e+03 7.182e+01 1.176e+02
2.121e+03 7.332e+01 1.731e+02
2.442e+03 7.207e+01 1.371e+02
2.812e+03 6.551e+01 -1.029e+01
3.237e+03 6.311e+01 1.422e+02
3.728e+03 7.055e+01 8.343e+01
4.292e+03 6.914e+01 -1.604e+02
4.942e+03 6.099e+01 1.546e+02
5.690e+03 6.710e+01 -1.092e+02
6.551e+03 5.776e+01 2.990e+01
7.543e+03 6.296e+01 -3.923e+01
8.685e+03 4.859e+01 -9.454e+01
1.000e+04 4.661e+01 4.801e+01
