# frequency  SPL  phase
1.000e+01 4.552e+01 1.265e+02
1.151e+01 4.638e+01 1.226e+02
1.326e+01 4.653e+01 1.230e+02
1.526e+01 4.618e+01 1.373e+02
1.758e+01 4.929e+01 1.719e+02
2.024e+01 5.690e+01 -1.746e+02
2.330e+01 6.437e+01 1.750e+02
2.683e+01 7.089e+01 1.489e+02
3.089e+01 7.547e+01 1.097e+02
3.556e+01 7.732e+01 6.901e+01
4.095e+01 7.776e+01 3.605e+01
4.715e+01 7.793e+01 8.792e+00
5.429e+01 7.812e+01 -1.615e+01
6.251e+01 7.837e+01 -4.070e+01
7.197e+01 7.865e+01 -6.593e+01
8.286e+01 7.894e+01 -9.256e+01
9.541e+01 7.926e+01 -1.212e+02
1.098e+02 7.961e+01 -1.526e+02
1.265e+02 8.003e+01 1.727e+02
1.456e+02 8.053e+01 1.335e+02
1.677e+02 8.111e+01 8.864e+01
1.931e+02 8.170e+01 3.686e+01
2.223e+02 8.221e+01 -2.304e+01
2.559e+02 8.252e+01 -9.190e+01
2.947e+02 8.253e+01 -1.701e+02
3.393e+02 8.228e+01 1.026e+02
3.907e+02 8.220e+01 5.555e+00
4.498e+02 8.278e+01 -1.074e+02
5.180e+02 8.321e+01 1.159e+02
5.964e+02 8.236e+01 -4.313e+01
6.866e+02 8.043e+01 1.396e+02
7.906e+02 7.787e+01 -6.286e+01
9.103e+02 7.142e+01 6.403e+01
1.048e+03 6.440e+01 -6.761e+01
1.207e+03 7.598e+01 6.776e-01
1.390e+03 8.026e+01 9.423e+00
1.600e+03 8.242e+01 -3.511e+01
1.842e+03 8.321e+01 -1.420e+02
2.121e+03 8.254e+01 4.292e+01
2.442e+03 7.920e+01 1.455e+02
2.812e+03 7.122e+01 1.731e+02
3.237e+03 6.862e+01 -1.680e+02
3.728e+03 7.312e+01 -1.071e+01
4.292e+03 6.928e+01 3.939e+00
4.942e+03 6.201e+01 -1.007e+02
5.690e+03 5.311e+01 -1.112e+02
6.551e+03 5.800e+01 -6.422e+01
7.543e+03 5.540e+01 9.711e+00
8.685e+03 5.395e+01 2.404e+01
1.000e+04 4.057e+01 1.020e+02
