# frequency  SPL  phase
1.000e+01 4.826e+01 1.266e+02
1.151e+01 4.963e+01 1.216e+02
1.326e+01 5.065e+01 1.181e+02
1.526e+01 5.124e+01 1.195e+02
1.758e+01 5.216e+01 1.323e+02
2.024e+01 5.611e+01 1.527e+02
2.330e+01 6.287e+01 1.555e+02
2.683e+01 6.956e+01 1.363e+02
3.089e+01 7.438e+01 1.005e+02
3.556e+01 7.642e+01 6.184e+01
4.095e+01 7.699e+01 3.004e+01
4.715e+01 7.727e+01 3.502e+00
5.429e+01 7.755e+01 -2.101e+01
6.251e+01 7.787e+01 -4.533e+01
7.197e+01 7.821e+01 -7.051e+01
8.286e+01 7.857e+01 -9.728e+01
9.541e+01 7.896e+01 -1.263e+02
1.098e+02 7.938e+01 -1.582e+02
1.265e+02 7.987e+01 1.661e+02
1.456e+02 8.041e+01 1.258e+02
1.677e+02 8.098e+01 7.968e+01
1.931e+02 8.154e+01 2.667e+01
2.223e+02 8.200e+01 -3.411e+01
2.559e+02 8.232e+01 -1.033e+02
2.947e+02 8.254e+01 1.785e+02
3.393e+02 8.280e+01 9.006e+01
3.907e+02 8.323e+01 -1.118e+01
4.498e+02 8.381e+01 -1.283e+02
5.180e+02 8.441e+01 9.567e+01
5.964e+02 8.488e+01 -6.230e+01
6.866e+02 8.489e+01 1.157e+02
7.906e+02 8.455e+01 -9.003e+01
9.103e+02 8.467e+01 3.461e+01
1.048e+03 8.439e+01 1.203e+02
1.207e+03 8.382e+01 1.681e+02
1.390e+03 8.292e+01 1.699e+02
1.600e+03 8.234e+01 1.196e+02
1.842e+03 8.157e+01 5.969e+00
2.121e+03 8.053e+01 1.782e+02
2.442e+03 7.862e+01 -9.200e+01
2.812e+03 7.569e+01 -9.608e+01
3.237e+03 7.133e+01 1.512e+02
3.728e+03 6.289e+01 -8.601e+01
4.292e+03 5.225e+01 5.296e+01
4.942e+03 6.211e+01 -1.234e+02
5.690e+03 6.311e+01 -1.396e+02
6.551e+03 5.936e+01 -1.576e+01
7.543e+03 4.464e+01 -1.418e+02
8.685e+03 5.218e+01 -4.259e+01
1.000e+04 5.028e+01 -8.572e+01
